datetime=2026-02-02T00:18:00Z	cip=10.9.6.149	login=sadye.daugherty74	url=https://slack.com/login?id=yysVKL&ref=gqui	action=allowed	urlcat=Business	threatname=	respcode=200	bytes_out=92	bytes_in=2964	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T08:24:37Z	cip=10.4.18.33	login=reina.waters	url=https://amazon.com/checkout	action=allowed	urlcat=Shopping	threatname=	respcode=301	bytes_out=90	bytes_in=19678	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T08:24:53Z	cip=10.4.18.33	login=reina.waters	url=https://wetransfer.com/download	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=233	bytes_in=38419	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=HEAD
datetime=2026-02-02T08:25:28Z	cip=10.4.18.33	login=reina.waters	url=https://amazon.com/cart	action=allowed	urlcat=Shopping	threatname=	respcode=204	bytes_out=219	bytes_in=16543	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T08:25:33Z	cip=10.4.18.33	login=reina.waters	url=https://wetransfer.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=198	bytes_in=5139	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T08:26:55Z	cip=10.4.161.218	login=eloisa.kilback	url=https://wetransfer.com/share	action=allowed	urlcat=File Sharing	threatname=	respcode=201	bytes_out=649	bytes_in=10977	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=POST
datetime=2026-02-02T08:31:39Z	cip=10.4.216.48	login=junior88	url=https://drive.google.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=915	bytes_in=33305	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=PUT
datetime=2026-02-02T09:24:14Z	cip=10.4.249.243	login=abdullah59	url=https://box.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=1246	bytes_in=34089	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0	reqmethod=POST
datetime=2026-02-02T09:51:36Z	cip=10.9.190.78	login=justina.hermann47	url=https://dropbox.com/folder?id=eR6Y0E&ref=RV8H	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=161347	bytes_in=230	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=POST
datetime=2026-02-02T10:40:38Z	cip=10.4.117.65	login=della_bogisich	url=https://outlook.office.com/compose	action=allowed	urlcat=Webmail	threatname=	respcode=301	bytes_out=1014	bytes_in=12344	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=POST
datetime=2026-02-02T10:40:45Z	cip=10.4.117.65	login=della_bogisich	url=https://facebook.com/notifications?id=vsCfdO&ref=HL7d	action=allowed	urlcat=Social Networking	threatname=	respcode=204	bytes_out=119	bytes_in=1638	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T10:41:10Z	cip=10.4.117.65	login=della_bogisich	url=https://dropbox.com/share?id=wSRWup&ref=Fp2I	action=allowed	urlcat=File Sharing	threatname=	respcode=302	bytes_out=365	bytes_in=32925	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=PUT
datetime=2026-02-02T10:41:25Z	cip=10.4.117.65	login=della_bogisich	url=https://mail.google.com/sent?id=5QhGvd&ref=w4lw	action=allowed	urlcat=Webmail	threatname=	respcode=302	bytes_out=145	bytes_in=18192	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=HEAD
datetime=2026-02-02T10:41:38Z	cip=10.4.117.65	login=della_bogisich	url=https://mail.yahoo.com/compose	action=allowed	urlcat=Webmail	threatname=	respcode=302	bytes_out=303	bytes_in=17483	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T10:42:04Z	cip=10.4.117.65	login=della_bogisich	url=https://linkedin.com/messages	action=allowed	urlcat=Social Networking	threatname=	respcode=204	bytes_out=354	bytes_in=21897	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T10:47:17Z	cip=10.4.216.48	login=junior88	url=https://salesforce.com/login	action=allowed	urlcat=Business	threatname=	respcode=301	bytes_out=64	bytes_in=9198	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T10:47:24Z	cip=10.4.216.48	login=junior88	url=https://bbc.com/business?id=oV3Zcp&ref=2AtF	action=allowed	urlcat=News & Media	threatname=	respcode=302	bytes_out=83	bytes_in=9360	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T10:47:48Z	cip=10.4.216.48	login=junior88	url=https://nytimes.com/live-updates	action=allowed	urlcat=News & Media	threatname=	respcode=200	bytes_out=244	bytes_in=4998	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T10:48:07Z	cip=10.4.216.48	login=junior88	url=https://cnn.com/technology	action=allowed	urlcat=News & Media	threatname=	respcode=302	bytes_out=562	bytes_in=36690	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=PUT
